numberLinesOfCodeBef,numberCommentsBef,numberBlankLinesBef,totalLinesBef,numParametersBef,numStatementsBef,halsteadLengthBef,halsteadVocabularyBef,halsteadVolumeBef,halsteadDifficultyBef,halsteadEffortBef,halsteadLevelBef,halsteadTimeBef,halsteadBugsDeliveredBef,halsteadMaintainabilityBef,cyclomaticComplexityBef,cognitiveComplexityBef,lackOfCohesionInMethodBef
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
22,0,1,23,2,18,46.0,151.0,254.0838499786226,11.1340206185567,2828.9748245042515,0.08981481481481482,157.16526802801397,3.333333333333333E-4,53.33874721441143,4,4,1.0
7,0,0,7,0,5,23.0,49.0,104.0419249893113,4.515625,469.81431752985884,0.22145328719723184,26.10079541832549,3.333333333333333E-4,67.17153630568122,2,2,0.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
47,0,0,47,1,42,59.0,363.0,347.07593991234864,13.392857142857142,4648.338480968955,0.07466666666666667,258.24102672049753,3.333333333333333E-4,43.315779015572815,18,193,1.0
7,0,0,7,0,5,23.0,49.0,104.0419249893113,4.515625,469.81431752985884,0.22145328719723184,26.10079541832549,3.333333333333333E-4,67.17153630568122,2,2,0.0
3,0,0,3,1,1,20.0,26.0,86.43856189774725,2.763157894736842,238.8433947174595,0.3619047619047619,13.269077484303304,3.333333333333333E-4,75.89673957437046,1,1,1.0
3,0,0,3,1,1,20.0,26.0,86.43856189774725,2.763157894736842,238.8433947174595,0.3619047619047619,13.269077484303304,3.333333333333333E-4,75.89673957437046,1,1,1.0
